Start date,End date,Country,ISO,Location,Latitude,Longitude,Magnitude value,Magnitude scale,Disaster type,Disaster subtype,Disaster name,Disaster No.
15-08-1991,29-08-1991,India,IND,"Haryana, Uttar Pradesh, Himachal Pradesh, Bihar states",,,,Km2,Flood,Riverine flood,,1991-0532
14-09-1991,15-09-1991,India,IND,West Bengal state,,,91960,Km2,Flood,Riverine flood,,1991-0766
08-09-1992,31/09/1992,India,IND,"Uttar Pradesh, Jammu, Madhya Pradesh",,,,Km2,Flood,Riverine flood,,1992-0083
08-10-1992,08-10-1992,India,IND,"Vamanapuram, Amravilla (Trivadrum district, Kerala state)",,,,Km2,Flood,Riverine flood,,1992-0147
26-07-1992,31-07-1992,India,IND,Orissa state,,,,Km2,Flood,Riverine flood,,1992-0333
10-11-1992,10-11-1992,India,IND,"Tamil Nadu, Kerala, Karnataka, Andhra Pradesh states",,,,Km2,Flood,--,,1992-0483
/09/1992,/09/1992,India,IND,"Banda, Allahbad, Kanpur (Uttar Pradesh)",,,,Km2,Flood,Riverine flood,,1992-0546
08-07-1993,31-07-1993,India,IND,"Punjab, Haryana, Himachal Pradesh,  Gujarat, Jammu and Kashmir, Rajasthan, Madhya Pradesh, Chandigarh, Assam  states",,,80937,Km2,Flood,--,,1993-0042
11-10-1993,21-10-1993,India,IND,Karnataka state,,,,Km2,Flood,Flash flood,,1993-0218
09-09-1993,17-09-1993,India,IND,Uttar Pradesh,,,,Km2,Flood,Riverine flood,,1993-0325
/05/1993,/05/1993,India,IND,"Tripura, Karamganj (Assam)",,,,Km2,Flood,Riverine flood,,1993-0326
/07/1993,/07/1993,India,IND,Himachal Pradesh,,,,Km2,Flood,Riverine flood,,1993-0570
/05/1994,/10/1994,India,IND,"Assam, Arunachal Pradesh, Jammu and Kashmir, Himachal, Punjab, Uttar Pradesh, Goa, Kerala, Gujarat states",,,,Km2,Flood,--,,1994-0068
17-08-1994,17-08-1994,India,IND,New Delhi,,,,Km2,Flood,Riverine flood,,1994-0763
01-09-1995,20-09-1995,India,IND,"Bihar, Haryana, Punjab, Rajasthan, Himachal Pradesh, Jammu and Kasmir, Uttar Pradesh, West Bengal, Maharashtra states",,,762900,Km2,Flood,Riverine flood,,1995-0228
05-09-1995,08-09-1995,India,IND,Sikkim state,,,6520,Km2,Flood,Riverine flood,,1995-0485
23-10-1995,23-10-1995,India,IND,Andhra Pradesh,,,,Km2,Flood,Riverine flood,,1995-0491
23-08-1996,23-08-1996,India,IND,Jammu & Kashmir state,,,29600,Km2,Flood,--,,1996-0181
11-07-1996,11-07-1996,India,IND,Uttar Pradesh,,,,Km2,Flood,--,,1996-0183
21-10-1996,25-10-1996,India,IND,"Tamil Nadu, Andhra Pradesh, Kerala, Karnataka states",,,177500,Km2,Flood,Riverine flood,,1996-0245
10-07-1996,24-07-1996,India,IND,"West Bengal, Arunachal Pradesh, Assam",,,129000,Km2,Flood,Riverine flood,,1996-0496
25-08-1996,01-09-1996,India,IND,"Bihar, Assam, Gujarat, Haryana, Kerala, Rajasthan, Uttar Pradesh",,,,Km2,Flood,--,,1996-0501
17-07-1996,10-08-1996,India,IND,"Kishanganj, Darbhanga, Sitamarhi, Saharsa districts (Bihar state)",,,171900,Km2,Flood,Riverine flood,,1996-0503
08-08-1997,14-08-1997,India,IND,"Chandigarh, Chirgaon, Himalayan state of Himachal Pradesh.",,,,Km2,Flood,Riverine flood,,1997-0170
22-08-1997,22-08-1997,India,IND,Coastal districts of West Bengal  (no better info),,,3,Km2,Flood,Coastal flood,,1997-0182
/09/1997,/09/1997,India,IND,"Andhra Pradesh, Arunachal Pradesh, Assam, Bihar, Gujarat, Himachal Pradesh, Jammu and Kashmir, Karnataka, Kerala, Maharashtra, Madyha Pradesh, Orissa, Punjab, Rajasthan, Sikkim, Uttar Pradesh, West Bengal states",,,21840,Km2,Flood,--,,1997-0260
22-06-1997,28-06-1997,India,IND,"Mehsana, Gandhi Nagar, Ahmedabad, Kheda, Sabarkanda, Vadodra, Banaskanda, Surender Nagar districts (Gujarat state)",,,,Km2,Flood,Riverine flood,,1997-0337
/08/1997,/08/1997,India,IND,West,,,,Km2,Flood,--,,1997-0348
19-09-1997,24-09-1997,India,IND,Guntoor (Guntur) and Prakasham districts (Andhra Pradesh),,,,Km2,Flood,Riverine flood,,1997-0357
/08/1998,/08/1998,India,IND,"Assam, Arunachal, Bihar, Kerala, Meghalaya, Punjab, Sikkim, Uttar Pradesh, West Bengal states",,,67610,Km2,Flood,--,,1998-0392
16-09-1998,18-09-1998,India,IND,"Gujarat, Maharashtra states",,,,Km2,Flood,Flash flood,,1998-0449
20-09-1998,20-09-1998,India,IND,"Andhra Pradesh, Hyderabad",,,8000,Km2,Flood,--,,1998-0450
11-07-1999,03-08-1999,India,IND,"Assam, Bihar, Gujarat, Karnataka, Kerala, Tripura, West Bengal, Arunachal Pradesh, Punjab",,,,Km2,Flood,Riverine flood,,1999-0213
/09/1999,/09/1999,India,IND,"Uttar Pradesh, Bihar, West Bengal, Madhya Prasdeh, Delhi",,,,Km2,Flood,--,,1999-0371
10-06-2000,10-06-2000,India,IND,"Yingkiang,Tuting villages (Upper Siang (70051) district, Arunachal Pradesh province), Along, Boleng villages (70054 district, Arunachal Pradesh province), Pasighat, Sika-bamin, Komlighat, Raneghat (70041 district, Arunachal Pradesh province), Tezu, Mahadevpur villages (Lohit district, Arunachal Pradesh province), Golaghat, Nagaon districts (Assam province),

",,,55000,Km2,Flood,Flash flood,,2000-0332
/07/2000,/07/2000,India,IND,"East Siang, 70041, West Siang, 70054, Upper Siang (70051), 70045, 70050, Lower Dibang Valley districts (Arunachal Pradesh province)",,,,Km2,Flood,Flash flood,,2000-0444
02-08-2000,30-08-2000,India,IND,"Katihar, Sitamarhi districts (Bihar province), Kinnaur district (Himachal Pradesh province), Bankura, Barddhaman, Birbhum, Haora, Hugli, Maldah, Murshidabad, Nadia, North 24 Parganas, West Midnapore districts (West Bengal province), Pithoragarh, Naini Tal districts (Uttarakhand province), Ahmadabad district (Gujarat province), Andhra Pradesh, Assam, Arunachal Pradesh, Madhya Pradesh, Punjab, Uttar Pradesh, Maharashtra, Rajasthan, Chandigarh, Kerala",,,300000,Km2,Flood,Riverine flood,,2000-0445
23-08-2000,31-08-2000,India,IND,"Adilabad, Cuddapah, East Godavari, Guntur, Hyderabad, Karimnagar, Khammam, Krishna, Kurnool, Mahbubnagar, Medak, Nalgonda, Nellore, Nizamabad, Prakasam, Rangareddi, Vishakhapatnam, Warangal, West Godavari districts (Andhra Pradesh province)",,,129500,Km2,Flood,Flash flood,,2000-0534
18-09-2000,21-10-2000,India,IND,"Birbhum, Bardhaman, Murshidabad, Maldah districts (West Bengal province), Dumka, Sahibganj, Deoghar districts (Jharkhand province), Banka, Bhagalpur, Munger, Sheikhpura districts (Bihar province)",,,12680,Km2,Flood,Riverine flood,,2000-0610
19-10-2000,19-10-2000,India,IND,North 24 Parganas district (West Bengal province),,,309,Km2,Flood,--,,2000-0738
05-06-2001,22-06-2001,India,IND,"Silchar city (Cachar district, Assam province), Patharkandi village (Karimganj district, Assam province), West Tripura district (Tripura province)",,,,Km2,Flood,Riverine flood,,2001-0243
08-07-2001,10-07-2001,India,IND,"Marshagal, Mahakalpada villages (Kendrapara district, Orissa province), Kakatpur, Astaranga, Kanas, Delanga villages (Puri district, Orissa province), Banki, Kantapada villages (Cuttack district, Orissa province), Balipatna villages (Khordha district, Orissa province), Atharmalik villages (Angul district, Orissa province), Jajpur, Jagatsinghpur, Kalahandi, Koraput, Bolangir, Nayagarh, Baleshwar, Bhadrak districts (Orissa province), Dhamtari, Raipur, Mahasamund, Janjgir-Champa, Raigarh districts (Chhattisgarh province)",,,105100,Km2,Flood,Riverine flood,,2001-0332
/06/2001,/06/2001,India,IND,"Hosdurg borough (Kanhangad city, Kasaragod district, Kerala province), Vertak Nagar area (Thane district, Maharashtra province), Bhandup area (Mumbai Suburban district, Maharashtra province)",,,,Km2,Flood,--,,2001-0349
04-07-2001,16-07-2001,India,IND,"Idukki, Kottayam, Pattanamtitta, Kollam, Alappuzha districts (Kerala province)",,,4470,Km2,Flood,Riverine flood,,2001-0387
/08/2001,/08/2001,India,IND,"Aurangabad, Bhojpur, Gopalganj, Jehanabad, Muzaffarpur, Nalanda, Pashchim Champaran, Patna, Purba Champaran, Rohtas, Saran, Sitamarhi, Siwan, Vaishali districts (Bihar province)",,,,Km2,Flood,Riverine flood,,2001-0465
/08/2001,/08/2001,India,IND,Delhi province,,,,Km2,Flood,--,,2001-0502
20-08-2001,20-08-2001,India,IND,"Gopalganj, Purba Champaran, Pashchim Champaran, Muzaffarpur, Vaishali, Saran districts (Bihar province)",,,550,Km2,Flood,--,,2001-0515
/09/2001,/09/2001,India,IND,"Saran, Gopalganj, Purba Champaran, Madhubani districts (Bihar province), Uttar Pradesh province",,,,Km2,Flood,Flash flood,,2001-0527
07-09-2001,24-09-2001,India,IND,"Saran, Gopalganj districts (Bihar province)",,,,Km2,Flood,--,,2001-0794
21-06-2002,28-08-2002,India,IND,"Barpeta, Bongaigaon, Cachar, Darrang, Dhemaji, Dhuburi, Dibrugarh, Goalpara, Golaghat, Jorhat, Kamrup, Karimganj, Kokrajhar, Lakhimpur, Marigaon, Nagaon, Nalbari, Sibsagar, Sonitpur, Tinsukia districts (Assam province), Araria, Begusarai, Bhagalpur, Darbhanga, Gopalganj, Katihar, Khagaria, Kishanganj, Madhepura, Madhubani, Muzaffarpur, Nalanda, Pashchim Champaran, Patna, Pruba Champaran, Purnia, Saharsa, Samastipur, Saran, Sheikhpura, Sheohar, Sitamarhi, Siwan, Supaul districts (Bihar province), Lahul and Spiti district (Himachal Pradesh province), Balaghat district (Madhya Pradesh province), Tehri Garhwal district (Uttarakhand province), Adilabad, Khammam, Karimnagar districts (Andhra Pradesh province), Jalpaiguri, Kochbihar, Darjiling districts (West Bengal province), Meghalaya, Tripura, Arunachal Pradesh, Gujarat, Kerala, Manipur, Maharashrta provinces ",,,276600,Km2,Flood,Riverine flood,,2002-0374
11-08-2002,13-08-2002,India,IND,"Tehri Garhwal district (Uttaranchal province), Bihar, Assam, Manipur provinces",,,6770,Km2,Flood,Riverine flood,,2002-0490
20-08-2002,20-08-2002,India,IND,Balaghat district (Madhya Pradesh province),,,,Km2,Flood,Riverine flood,,2002-0539
03-09-2002,06-09-2002,India,IND,"Bharuch district (Gujarat province), Jalgaon, Nasik districts (Maharashtra province)",,,79000,Km2,Flood,Riverine flood,,2002-0568
10-10-2002,16-10-2002,India,IND,"Kannur, Kasaragod, Kozhikode, Malappuram, Thiruvananthapuram districts (Kerala province)",,,9750,Km2,Flood,Riverine flood,,2002-0650
01-10-2002,01-10-2002,India,IND,"Chennai, Coimbatore, Cuddalore districts (Tamil Nadu province",,,0,Km2,Flood,--,,2002-0729
11-06-2003,10-10-2003,India,IND,"Assam, Bihar, Tripura, West Bengal provinces",,,,Km2,Flood,Riverine flood,,2003-0283
15-07-2003,01-09-2003,India,IND,"Khavda, Banni, Natkharana, Lakhpat villages (Kachchh district, Gujarat province)",,,,Km2,Flood,Riverine flood,,2003-0387
27-08-2003,20-10-2003,India,IND,"Cuttack, Jagatsinghpur, Kendrapara, Jajpur, Puri, Bolangir, Sonepur, Kalahandi, Rayagada, Gajapati, Baragarh, Koraput, Nayagarh, Ganjam, Angul districts (Orissa province)",,,117900,Km2,Flood,Riverine flood,,2003-0683
16-07-2003,16-07-2003,India,IND,Kullu district (Himachal Pradesh province),,,,Km2,Flood,Flash flood,,2003-0719
07-08-2003,07-08-2003,India,IND,"Solang village (Kullu district, Himachal Pradesh)",,,,Km2,Flood,Flash flood,,2003-0720
10-09-2003,10-09-2003,India,IND,Uttar Pradesh province,,,,Km2,Flood,Riverine flood,,2003-0775
10-04-2004,14-04-2004,India,IND,"Leimapokpam, Thiyam, Lourembam, Nambol Laitonjam villages (Bishnupur district, Manipur province), Na-Orem, Pukhrambam, Sanjenbam villages (West Imphal district, Manipur province), Oinam, Khangabok villages (Thoubal district, Manipur province)",,,,Km2,Flood,Riverine flood,,2004-0178
20-06-2004,/08/2004,India,IND,"Darbhanga, Madhubani, Sitamarhi, Banka, Bhagalpur, Muzaffarpur, Sheohar districts (Bihar province), West Tripura, South Tripura districts (Tripura province), Kamrup, Nalbari, Darrang, Sonitpur, Dhemaji, Lakhimpur districts (Assam province), Gujarat, Jammu and Kashmir provinces",,,,Km2,Flood,Riverine flood,,2004-0298
09-06-2004,11-06-2004,India,IND,"Wayanad, Kozhikode, Kannur, Kasaragod districts (Kerala province)",,,9000,Km2,Flood,Riverine flood,,2004-0321
20-09-2004,22-09-2004,India,IND,"Uttar Pradesh, Himachal Pradesh provinces",,,,Km2,Flood,Flash flood,,2004-0489
07-10-2004,18-10-2004,India,IND,"Goalpara district (Assam province), Meghalaya, Arunachal Pradesh, West Bengal provinces",,,,Km2,Flood,Flash flood,,2004-0509
01-08-2004,08-09-2004,India,IND,"Uttarakhand, Gujarat, Maharashtra, Punjab, Haryana, Rajasthan provinces",,,,Km2,Flood,Riverine flood,,2004-0734
27-05-2005,27-05-2005,India,IND,Mokokchung district (Nagaland province),,,,Km2,Flood,Riverine flood,,2005-0314
28-06-2005,15-07-2005,India,IND,"Surat, Valsad, Navsari, Bharuch, Vadodara, Surendranagar, The Dangs, Ahmedabad, Anand, Kheda, Amreli, Bhavnagar, Junagadh, Rajkot, Narmada, Jamnagar, Gandhinagar, Sabarkantha districts (Gujarat province)",,,,Km2,Flood,Riverine flood,,2005-0335
09-07-2005,09-07-2005,India,IND,"Digras, Nandgavan villages (Yavatmal district, Maharashtra province)",,,,Km2,Flood,Riverine flood,,2005-0354
26-06-2005,29-06-2005,India,IND,"Sangla, Kalpa, Yangthang, Sumdo, Khab, Karcham, Leo, Akpa, Kharo villages (Kinnaur district, Himachal Pradesh province), Rampur Bushahr village (Shimla district, Himachal Pradesh province), Kullu, Bilaspur, Mandi districts (Himachal Pradesh)",,,6530,Km2,Flood,Riverine flood,,2005-0361
07-07-2005,28-07-2005,India,IND,"Yingkiong village (Upper Siang (70051) district, Arunachal Pradesh province), Seppa village (East Kameng (70040) district, Arunachal Pradesh province), Anini village (70050 district, Arunachal Pradesh province), Dibrugarh, Sonitpur, Sibsagar, Dhemaji, Tinsukia, Karimganj, Lakhimpur, Jorhat, Morigaon, Dhuburi, Goalpara, Barpeta districts (Assam province), Bahraich, Shravasti, Banda, Ballia, Lakhimpur Kheri, Kanpur, Varanasi, Mainpuri districts (Uttar Pradesh province), Haridwar, Uttarkashi, Naini Tal, Dehran Dun districts (Uttarakhand province), Muzaffarpur, Darbhanga, Madhubani districts (Bihar province), Birbhum district (West Bengal province)",,,,Km2,Flood,Riverine flood,,2005-0375
02-07-2005,15-07-2005,India,IND,"Ashoknagar, Chhatarpur, Damoh, Jabalpur, Katni, Narsinghpur, Panna, Rewa, Sagar, Satna districts (Madhya Pradesh province)",,,55740,Km2,Flood,Riverine flood,,2005-0398
10-07-2005,10-07-2005,India,IND,"Adilabad, Hyderabad, Karimnagar, Khammam, Mahbubnagar, Medak, Nalgonda, Nizamabad, Rangareddi, Warangal, East Godavari, Guntur, Krishna, Nellore, Prakasam, Srikakulam, Vishakhapatnam, Vizianagaram, West Godavari districts (Andhra Pradesh province)",,,,Km2,Flood,Riverine flood,,2005-0399
24-07-2005,05-08-2005,India,IND,"Gujarat, Madhya Pradesh, Maharashtra, Goa, Orissa, Karnataka, Himachal Pradesh, Jammu and Kashmir provinces",,,35550,Km2,Flood,Riverine flood,,2005-0409
26-08-2005,28-08-2005,India,IND,Azamgarh district (Uttar Pradesh province),,,12680,Km2,Flood,Flash flood,,2005-0471
23-07-2005,16-08-2005,India,IND,"Karnataka, Andhra Pradesh provinces",,,619200,Km2,Flood,Riverine flood,,2005-0504
16-09-2005,19-09-2005,India,IND,"Himachal Pradesh, Uttar Pradesh, Uttarakhand provinces",,,308700,Km2,Flood,Riverine flood,,2005-0539
14-09-2005,20-09-2005,India,IND,"Raj Nandgaon, Durg districts (Chhattisgarh province), Baleshwar, Bhadrak, Jajpur districts (Orissa province), Bhandara, Gondiya, Nagpur districts (Maharashtra province), Balaghat, Katni, Jabalpur, Seoni districts (Madhya Pradesh province)",,,312900,Km2,Flood,Riverine flood,,2005-0541
